hostname,mx_domain
essilorluxottica.com,amazonses.com
essity.com,mimecast.com
eurofins.com,outlook.com
eurazeo.com,outlook.com
evonik.com,evonik.com
evolution.com,outlook.com
sodexo.com,pphosted.com
exor.com,serfit.eu
finecobank.com,fineco.it
groupefdj.com,lfdj.com
ferrovial.com,outlook.com
freseniusmedicalcare.com,freseniusmedicalcare.com
freseniusmedicalcare.com,fmcna.com
fortum.fi,NA.
eiffage.fr,pphosted.com
fuchs.com,outlook.com
fraport.com,fraport.com
fresenius.com,outlook.com
gea.com,outlook.com
scout24.com,outlook.com
galp.com,outlook.com
generali.com,pphosted.com
gbl.be,outlook.com
geberit.com,outlook.com
getlinkgroup.com,trendmicro.eu
gecina.fr,iphmx.com
givaudan.com,google.com
gjensidige.no,outlook.com
glpg.com,outlook.com
glpg.com,glpg.com
genmab.com,outlook.com
gn.com,outlook.com
grifols.com,outlook.com
heidelbergcement.com,iphmx.com
theheinekencompany.com,googlemail.com
theheinekencompany.com,google.com
hexagon.com,outlook.com
hmgroup.com,outlook.com
hannover-re.com,hannover-re.com
hannover-re.com,htp-tel.de
holcim.com,googlemail.com
holcim.com,google.com
hochtief.de,outlook.com
hermes.com,pphosted.com
husqvarna.com,outlook.com
iberdrola.com,trendmicro.eu
icade.fr,icade.fr
infineon.com,infineon.com
iliad.fr,iliad.fr
industrivarden.se,outlook.com
ing.com,outlook.com
investorab.com,outlook.com
inwit.it,outlook.com
ipsen.com,outlook.com
intesasanpaolo.com,intesasanpaolo.com
inditex.com,pphosted.com
jcdecaux.fr,messagelabs.com
jeronimomartins.com,mpssec.net
kbc.com,mailinfra.com
knorr-bremse.com,outlook.com
kiongroup.com,outlook.com
kinnevik.com,outlook.com
kone.com,outlook.com
kuehne-nagel.com,retarus.com
kpn.com,outlook.com
kingspan.com,mimecast.com
kerrygroup.com,pphosted.com
latour.se,outlook.com
leonardo.com,leonardo.com
legrandgroup.com,outlook.com
leg-wohnen.de,immo-nrw.net
lindt-spruengli.com,outlook.com
klepierre.com,pphosted.com
lonza.com,lonza.com
lundbeck.com,outlook.com
lundbergforetagen.se,nmugroup.com
lvmh.fr,pphosted.com
maersk.com,outlook.com
mapfre.com,outlook.com
daimler.com,daimler.com
mediobanca.com,mediobanca.com
michelin.fr,michelin.com
monclergroup.com,mailcontrol.com
mowi.com,outlook.com
merckgroup.com,pphosted.com
arcelormittal.com,pphosted.com
mtu.de,mtu.de
munichre.com,pphosted.com
wendelgroup.com,iphmx.com
wendelgroup.com,outlook.com
nordea.fi,outlook.com
nemetschek.com,outlook.com
nestle.com,outlook.com
neste.com,google.com
nexigroup.com,outlook.com
hydro.com,outlook.com
nibe.com,pphosted.com
nn-group.com,outlook.com
nokia.com,outlook.com
novartis.com,pphosted.com
novonordisk.com,fireeyecloud.com
naturgy.com,messagelabs.com
novozymes.com,outlook.com
omv.com,outlook.com
orange.com,orange.com
loreal.com,pphosted.com
orkla.no,scanscope.net
orkla.no,outlook.com
orion.fi,outlook.com
orpea.com,orpea.net
orpea.com,orpea.com
orron.com,outlook.com
orsted.dk,outlook.com
pernod-ricard.com,outlook.com
groupe-psa.com,netkin.ovh
partnersgroup.com,partnersgroup.com
philips.com,outlook.com
pirelli.com,pphosted.com
pandoragroup.com,outlook.com
proximus.com,belgacom.be
kering.com,pphosted.com
prosus.com,outlook.com
prysmiangroup.com,outlook.com
porsche-se.com,porsche.de
poste.it,poste.it
publicisgroupe.com,outlook.com
puma.com,outlook.com
qiagen.com,outlook.com
ferrari.com,ferrari.it
randstad.com,google.com
rbinternational.com,outlook.com
remy-cointreau.com,mimecast.com
recordati.it,mailcontrol.com
ree.es,iphmx.com
repsol.com,iphmx.com
roche.com,roche.com
roche.com,gene.com
sampo.com,outlook.com
santander.com,iphmx.com
home.sandvik,NA.
sap.com,outlook.com
sanofi.com,mimecast.com
sartorius.de,sartoserver.de
sca.com,outlook.com
schibsted.com,google.com
se.com,messagelabs.com
schindler.com,outlook.com
swisscom.ch,swisscom.com
scor.com,pphosted.com
sebgroup.com,seb.se
groupeseb.com,pphosted.com
securitas.com,outlook.com
ses.com,ses.com
vinci.com,outlook.com
saint-gobain.com,saint-gobain.com
siemensgamesa.com,outlook.com
sgs.com,outlook.com
handelsbanken.se,handelsbanken.se
siemens-healthineers.com,outlook.com
siemens.com,outlook.com
sika.com,sika.com
skanska.se,outlook.com
skf.com,outlook.com
swisslife.com,swisslife.ch
sofinagroup.com,outlook.com
societegenerale.com,socgen.com
solvay.com,google.com
sonova.com,sonova.com
sps.swiss,outlook.com
swissre.com,outlook.com
sartorius.com,outlook.com
storaenso.com,outlook.com
stellantis.com,google.com
st.com,pphosted.com
straumann.com,outlook.com
swedbank.com,swedbank.se
swedishmatch.com,outlook.com
symrise.com,outlook.com
thalesgroup.com,thalesgroup.com
telefonica.es,hornetsecurity.com
telenor.com,telenor.no
tele2.com,outlook.com
teliacompany.com,telia.net
temenos.com,pphosted.com
tenaris.com,iphmx.com
teleperformance.com,mimecast.com
thyssenkrupp.com,expurgate.net
justeattakeaway.com,google.com
justeattakeaway.com,googlemail.com
teamviewer.com,mimecast.com
telenet.be,telenet-ops.be
terna.it,iphmx.com
tryg.com,mimecast.com
totalenergies.com,outlook.com
ubisoft.com,outlook.com
ubs.com,open.ch
ucb.com,outlook.com
swatchgroup.com,swatchgroup.com
umicore.be,outlook.com
uniper.energy,outlook.com
unilever.nl,unilever.com
upm.com,outlook.com
urw.com,pphosted.com
united-internet.de,1and1.com
verbund.com,pphosted.com
veolia.com,googlemail.com
veolia.com,google.com
viforpharma.com,viforpharma.com
vivendi.com,pphosted.com
valeo.com,google.com
vonovia.de,pphosted.com
voestalpine.com,mimecast.com
volvogroup.com,outlook.com
vopak.com,googlemail.com
vopak.com,google.com
volkswagenag.com,volkswagen.de
vestas.com,outlook.com
wartsila.com,outlook.com
yara.com,outlook.com
zalando.de,google.com
zurich.com,pphosted.com
alrosa.ru,alrosa.ru
severstal.com,severstal.com
x5.ru,x5.ru
gazprom.ru,gazprom.ru
nornickel.ru,nornik.ru
interrao.ru,interrao.ru
lukoil.ru,lukoil.com
magnit-info.ru,magnit.ru
magnit-info.ru,tander.ru
moex.com,moex.ru
moex.com,moex.com
mts.ru,mts.ru
nlmk.com,nlmk.com
novatek.ru,novatek.ru
ozon.com,outlook.com
phosagro.ru,phosagro.ru
polyus.com,polyus.com
polymetalinternational.com,polymetal.ru
rosneft.ru,rosneft.ru
rusal.ru,rusal.com
sberbank.ru,sberbank.ru
surgutneftegas.ru,surgutneftegas.ru
tatneft.ru,tatneft.ru
tcsgh.com.cy,outlook.com
vk.company,mail.ru
vtb.ru,vtb.ru
yandex.com,yandex.ru
agilent.com,outlook.com
gcs-web.com,envoyxpress.com
advanceautoparts.com,pphosted.com
apple.com,apple.com
abbvie.com,iphmx.com
amerisourcebergen.com,pphosted.com
abiomed.com,mimecast.com
abbott.com,pphosted.com
archgroup.com,mimecast.com
accenture.com,pphosted.com
adobe.com,outlook.com
analog.com,pphosted.com
adm.com,outlook.com
adp.com,pphosted.com
autodesk.com,outlook.com
ameren.com,pphosted.com
aep.com,aep.com
aes.com,outlook.com
aflac.com,pphosted.com
aig.com,pphosted.com
assurant.com,assurant.com
assurant.com,etdbw.com
ajg.com,messagelabs.com
akamai.com,pphosted.com
albemarle.com,outlook.com
aligntech.com,outlook.com
alaskaair.com,outlook.com
allegion.com,pphosted.com
appliedmaterials.com,appliedmaterials.com
amcor.com,outlook.com
amd.com,outlook.com
ametek.com,pphosted.com
amgen.com,outlook.com
americantower.com,pphosted.com
amazon.com,amazon.com
arista.com,google.com
ansys.com,outlook.com
aon.com,outlook.com
aosmith.com,pphosted.com
apacorp.com,pphosted.com
airproducts.com,outlook.com
amphenol.com,outlook.com
aptiv.com,pphosted.com
are.com,mimecast.com
atmosenergy.com,atmosenergy.com
activisionblizzard.com,pphosted.com
avaloncommunities.com,pphosted.com
broadcom.com,smtp.goog
broadcom.com,google.com
averydennison.com,NA.NA
averydennison.com,googlemail.com
averydennison.com,google.com
amwater.com,pphosted.com
americanexpress.com,pphosted.com
autozone.com,mimecast.com
boeing.com,boeing.net
bankofamerica.com,pphosted.com
ball.com,pphosted.com
baxter.com,iphmx.com
bestbuy.com,pphosted.com
bd.com,pphosted.com
franklinresources.com,markmonitor.com
brown-forman.com,googlemail.com
brown-forman.com,google.com
biogen.com,pphosted.com
bio-rad.com,outlook.com
bnymellon.com,pphosted.com
bookingholdings.com,google.com
bookingholdings.com,mxrecord.io
bakerhughes.com,outlook.com
blackrock.com,pphosted.com
bms.com,outlook.com
broadridge.com,pphosted.com
berkshirehathaway.com,outlook.com
bbinsurance.com,mimecast.com
bostonscientific.com,iphmx.com
borgwarner.com,iphmx.com
bxp.com,mimecast.com
citigroup.com,citi.com
cardinalhealth.com,iphmx.com
carrier.com,outlook.com
chubb.com,pphosted.com
cboe.com,cboe.com
crowncastle.com,outlook.com
ceridian.com,pphosted.com
cadence.com,pphosted.com
cdw.com,pphosted.com
celanese.com,pphosted.com
constellation.com,bgehome.com
constellation.com,outlook.com
cfindustries.com,pphosted.com
citizensbank.com,outlook.com
churchdwight.com,iphmx.com
chrobinson.com,iphmx.com
charter.com,chartercom.com
cigna.com,pphosted.com
cinfin.com,pphosted.com
colgate.com,mxrecord.io
thecloroxcompany.com,mkt5818.com
comerica.com,pphosted.com
comcast.com,pphosted.com
cmegroup.com,cmegroup.com
chipotle.com,pphosted.com
cummins.com,pphosted.com
cmsenergy.com,pphosted.com
centene.com,pphosted.com
centerpointenergy.com,outlook.com
capitalone.com,pphosted.com
coopercos.com,coopercos.com
conocophillips.com,outlook.com
costco.com,pphosted.com
campbellsoupcompany.com,outlook.com
copart.com,pphosted.com
camdenliving.com,outlook.com
criver.com,mimecast.com
salesforce.com,pphosted.com
cisco.com,cisco.com
costargroup.com,outlook.com
csx.com,outlook.com
cintas.com,pphosted.com
catalent.com,outlook.com
coterra.com,mimecast.com
cognizant.com,outlook.com
corteva.com,pphosted.com
cvshealth.com,mimecast.com
chevron.com,iphmx.com
caesars.com,pphosted.com
dominionenergy.com,pphosted.com
delta.com,pphosted.com
dupont.com,pphosted.com
deere.com,pphosted.com
discover.com,pphosted.com
dollargeneral.com,pphosted.com
questdiagnostics.com,messagelabs.com
drhorton.com,drhorton.com
danaher.com,pphosted.com
thewaltdisneycompany.com,disney.com
dish.com,mimecast.com
digitalrealty.com,pphosted.com
dollartree.com,pphosted.com
dovercorporation.com,outlook.com
dovercorporation.com,NA.NA
dow.com,outlook.com
dominos.com,pphosted.com
